city,state,POPESTIMATE2015,teen_incidents_tot,teen_vic_incidents,teen_perp_incidents,gva_incidents,teen_incidents_tot_per_capita
Wilmington,Delaware,71948,59,47,16,457,0.000820036693167287
Trenton,New Jersey,84225,37,30,7,332,0.000439299495399228
Chicago,Illinois,2720546,1134,1095,73,7716,0.000416828092596119
Savannah,Georgia,145674,60,49,19,446,0.000411878578195148
Syracuse,New York,144142,52,41,17,329,0.000360755366236073
Flint,Michigan,98310,34,25,10,397,0.000345844776726681
Gary,Indiana,77156,23,22,1,252,0.000298097361190316
Waterloo,Iowa,68460,20,13,9,111,0.000292141396435875
Rocky Mount,North Carolina,55806,15,15,2,63,0.000268788302333082
Bradenton,Florida,54437,14,11,5,81,0.000257178022301009
Shreveport,Louisiana,197204,48,40,16,412,0.000243402770734874
Chattanooga,Tennessee,176588,40,33,9,416,0.000226515958049245
Newport News,Virginia,182385,40,35,9,275,0.000219316281492447
West Palm Beach,Florida,106779,23,16,8,199,0.000215398158813999
Columbus,Georgia,200579,41,27,18,352,0.000204408238150554
Fort Myers,Florida,74013,15,14,2,177,0.000202667099023145
Rockford,Illinois,148278,30,23,9,278,0.000202322664184842
Baton Rouge,Louisiana,228590,45,22,31,467,0.000196859005205827
Rock Hill,South Carolina,71548,14,9,5,129,0.000195672835019847
Miami Gardens,Florida,113187,22,19,6,74,0.000194368611236273
Racine,Wisconsin,77742,15,10,7,85,0.000192945897970209
Dayton,Ohio,140599,27,18,10,516,0.000192035505231189
Rochester,New York,209802,39,33,7,397,0.000185889553007121
North Charleston,South Carolina,108304,20,9,16,181,0.000184665386319988
New Haven,Connecticut,130322,24,18,7,217,0.000184159236353033
Little Rock,Arkansas,197992,36,25,13,414,0.000181825528304174
Richmond,Virginia,220289,38,33,8,552,0.000172500669574967
Camden,New Jersey,76119,13,7,9,183,0.000170785217882526
Norfolk,Virginia,246393,39,33,8,395,0.00015828371747574
Birmingham,Alabama,212461,33,29,9,512,0.00015532262391686
Springfield,Illinois,116565,18,13,9,132,0.000154420280530176
Elkhart,Indiana,52348,8,6,4,50,0.000152823412546802
Pontiac,Michigan,59917,9,7,4,116,0.000150207787439291
Jackson,Tennessee,66975,10,8,6,135,0.000149309443822322
Paterson,New Jersey,147754,22,15,9,256,0.000148896138175616
South Bend,Indiana,101516,15,10,6,179,0.000147759959021238
Peoria,Illinois,115070,17,14,5,249,0.000147736160597897
Portsmouth,Virginia,96201,14,13,2,155,0.000145528632758495
Mobile,Alabama,194288,28,18,14,265,0.00014411595157704
Hammond,Indiana,77614,11,11,3,64,0.000141727008014018
Jackson,Mississippi,170674,24,20,5,487,0.000140618957779158
Richmond,California,109708,15,14,1,103,0.000136726583293835
Bridgeport,Connecticut,147629,20,19,3,211,0.000135474737348353
Jonesboro,Arkansas,73907,10,5,5,75,0.000135305180835374
Lafayette,Louisiana,127657,17,9,11,119,0.000133169352248604
Des Moines,Iowa,210330,28,22,13,216,0.000133124138258926
Hampton,Virginia,136454,18,13,7,194,0.000131912585926393
Kalamazoo,Michigan,76041,10,7,4,63,0.000131508002261938
Lake Charles,Louisiana,76070,10,3,8,50,0.000131457867753385
Muncie,Indiana,70087,9,5,6,40,0.00012841183101003
Valdosta,Georgia,55724,7,4,5,69,0.000125619122819611
Knoxville,Tennessee,185291,23,16,9,227,0.000124129072647889
Tuscaloosa,Alabama,98332,12,7,6,112,0.000122035553024448
Longview,Texas,82287,10,1,9,71,0.000121525878935919
Ocala,Florida,58218,7,4,3,75,0.00012023772716342
